Account,Date,Description,Money Out,Money In,Category,Category Excluded,Category Income,Uploaded At,Upload Batch,Not A Duplicate,Counts Toward Period
Millbrook Trust Checking,2026-05-01,Ashford Row Flats - Unit 4B Rent,1100.00,,Rent,No,No,,,No,
Millbrook Trust Checking,2026-05-02,Silverline Trolley Co. - Monthly Pass,68.00,,Silverline Trolley Pass,No,No,,,No,
Millbrook Trust Checking,2026-05-03,Almanac & Auguries Monthly,18.50,,Almanac Subscription,No,No,,,No,
Millbrook Trust Checking,2026-05-05,Corner Hearth Grocer,20.15,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-05-06,Hearthglow Utility Co.,159.00,,Hearthglow Utilities,No,No,,,No,
Griffon Reserve Credit Card,2026-05-08,Sunny Griffin Diner,12.16,,Dining Out,No,No,,,No,
Millbrook Trust Checking,2026-05-08,Thornwick & Vale Trading Co. - Payroll Dep.,,1363.69,Thornwick & Vale Paycheck,No,Yes,,,No,
Millbrook Trust Checking,2026-05-09,Safehold Mutual Assurance,25.00,,Safehold Insurance,No,No,,,No,
Millbrook Trust Checking,2026-05-09,Corner Hearth Grocer,26.15,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-05-12,Thrifty Sprout Market,26.82,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-05-12,Whisperwire Messenger Co.,42.98,,Whisperwire Messenger Service,No,No,,,No,
Millbrook Trust Checking,2026-05-15,Guild of Artisans Lending Office,210.00,,Guild Apprenticeship Debt,No,No,,,No,
Griffon Reserve Credit Card,2026-05-16,Round Loaf Bakery & Grocer,21.64,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-05-19,Bramblewick Co-op,20.25,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-05-19,Tailor's Nook,34.00,,Personal & Sundries,No,No,,,No,
Millbrook Trust Checking,2026-05-22,Thornwick & Vale Trading Co. - Payroll Dep.,,1367.59,Thornwick & Vale Paycheck,No,Yes,,,No,
Millbrook Trust Checking,2026-05-23,Miller's Provisions,29.70,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-05-24,Payment Received - Thank You,,202.46,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-05-24,Payment to Griffon Reserve Credit Card,202.46,,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-05-26,Corner Hearth Grocer,41.36,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-05-30,Miller's Provisions,25.90,,Groceries,No,No,,,No,
